id.num order days log.size ozone
1 1 1 152 4.51 1
2 1 2 174 4.98 1
3 1 3 201 5.41 1
4 1 4 227 5.9 1
5 1 5 258 6.15 1
6 1 6 469 6.16 1
7 1 7 528 6.18 1
8 1 8 556 6.48 1
9 1 9 579 6.65 1
10 1 10 613 6.87 1
11 1 11 639 6.95 1
12 1 12 674 6.99 1
13 1 13 674 7.04 1
14 2 1 152 4.24 1
15 2 2 174 4.2 1
16 2 3 201 4.68 1
17 2 4 227 4.92 1
18 2 5 258 4.96 1
19 2 6 469 5.2 1
20 2 7 528 5.22 1
21 2 8 556 5.39 1
22 2 9 579 5.65 1
23 2 10 613 5.71 1
24 2 11 639 5.78 1
25 2 12 674 5.82 1
26 2 13 674 5.85 1
27 3 1 152 3.98 1
28 3 2 174 4.36 1
29 3 3 201 4.79 1
30 3 4 227 4.99 1
31 3 5 258 5.03 1
32 3 6 469 5.87 1
33 3 7 528 5.88 1
34 3 8 556 6.04 1
35 3 9 579 6.34 1
36 3 10 613 6.49 1
37 3 11 639 6.58 1
38 3 12 674 6.65 1
39 3 13 674 6.61 1
40 4 1 152 4.36 1
41 4 2 174 4.77 1
42 4 3 201 5.1 1
43 4 4 227 5.3 1
44 4 5 258 5.36 1
45 4 6 469 5.53 1
46 4 7 528 5.56 1
47 4 8 556 5.68 1
48 4 9 579 5.93 1
49 4 10 613 6.21 1
50 4 11 639 6.26 1
51 4 12 674 6.2 1
52 4 13 674 6.19 1
53 5 1 152 4.34 1
54 5 2 174 4.95 1
55 5 3 201 5.42 1
56 5 4 227 5.97 1
57 5 5 258 6.28 1
58 5 6 469 6.5 1
59 5 7 528 6.5 1
60 5 8 556 6.79 1
61 5 9 579 6.83 1
62 5 10 613 7.1 1
63 5 11 639 7.17 1
64 5 12 674 7.21 1
65 5 13 674 7.16 1
716 56 1 152 4.97 0
717 56 2 174 5.32 0
718 56 3 201 5.83 0
719 56 4 227 6.29 0
720 56 5 258 6.45 0
721 56 6 469 6.61 0
722 56 7 528 6.61 0
723 56 8 556 6.79 0
724 56 9 579 7.13 0
725 56 10 613 7.24 0
726 56 11 639 7.32 0
727 56 12 674 7.29 0
728 56 13 674 7.35 0
729 57 1 152 4.37 0
730 57 2 174 4.81 0
731 57 3 201 5.03 0
732 57 4 227 5.19 0
733 57 5 258 5.4 0
734 57 6 469 5.57 0
735 57 7 528 5.59 0
736 57 8 556 5.82 0
737 57 9 579 6.03 0
738 57 10 613 6.17 0
739 57 11 639 6.32 0
740 57 12 674 6.25 0
741 57 13 674 6.29 0
742 58 1 152 4.58 0
743 58 2 174 4.99 0
744 58 3 201 5.37 0
745 58 4 227 5.68 0
746 58 5 258 5.93 0
747 58 6 469 6.14 0
748 58 7 528 6.17 0
749 58 8 556 6.43 0
750 58 9 579 6.56 0
751 58 10 613 6.69 0
752 58 11 639 6.81 0
753 58 12 674 6.82 0
754 58 13 674 6.76 0
755 59 1 152 4 0
756 59 2 174 4.5 0
757 59 3 201 4.92 0
758 59 4 227 5.44 0
759 59 5 258 5.87 0
760 59 6 469 6.02 0
761 59 7 528 6.04 0
762 59 8 556 6.11 0
763 59 9 579 6.47 0
764 59 10 613 6.61 0
765 59 11 639 6.66 0
766 59 12 674 6.7 0
767 59 13 674 6.65 0
768 60 1 152 4.73 0
769 60 2 174 5.05 0
770 60 3 201 5.33 0
771 60 4 227 5.92 0
772 60 5 258 6.01 0
773 60 6 469 6.26 0
774 60 7 528 6.26 0
775 60 8 556 6.36 0
776 60 9 579 6.49 0
777 60 10 613 6.63 0
778 60 11 639 6.92 0
779 60 12 674 6.92 0
780 60 13 674 6.92 0
